link,title
https://videos.nba.com/nba/pbp/media/2015/04/18/0041400141/3/c0244fc4-33c8-4873-adad-27bca33c8d39_1280x720.mp4,Curry Step Out of Bounds Turnover (P1.T2)
https://videos.nba.com/nba/pbp/media/2015/04/18/0041400141/57/e6b3d8f7-ac07-a005-09ac-815c716ebc38_1280x720.mp4,Thompson Out of Bounds Lost Ball Turnover (P2.T5)
https://videos.nba.com/nba/pbp/media/2015/04/18/0041400141/422/f27564e3-8b1a-0fdb-3a63-2eca5bde3b69_1280x720.mp4,Thompson Bad Pass Turnover (P5.T13)
https://videos.nba.com/nba/pbp/media/2015/04/20/0041400142/6/851643cd-6a82-b6d1-d999-079a66c559a6_1280x720.mp4,Curry Bad Pass Turnover (P2.T7)
https://videos.nba.com/nba/pbp/media/2015/04/23/0041400143/604/43b9ab7e-63f5-c2ba-cae2-d5b2d9d1dd03_1280x720.mp4,Green Foul Turnover (P1.T6)
https://videos.nba.com/nba/pbp/media/2015/05/03/0041400221/429/9f5a553c-7679-d0dc-c5e2-f3410538d021_1280x720.mp4,Green Foul Turnover (P1.T1)
https://videos.nba.com/nba/pbp/media/2015/05/05/0041400222/225/22bfd17d-2a6f-7e00-5e82-34d4dc44b057_1280x720.mp4,Bogut Foul Turnover (P1.T11)
https://videos.nba.com/nba/pbp/media/2015/05/05/0041400222/417/989e45cc-c8b4-7fe2-5b17-be9c9aebae8c_1280x720.mp4,Green Bad Pass Turnover (P1.T3)
https://videos.nba.com/nba/pbp/media/2015/05/05/0041400222/421/87040362-bf2c-1e0b-b012-98fec0b529b4_1280x720.mp4,Thompson Foul Turnover (P2.T9)
https://videos.nba.com/nba/pbp/media/2015/05/09/0041400223/30/c9f5f964-ab8b-be68-de43-8bd233a48f2e_1280x720.mp4,Green Bad Pass Turnover (P1.T2)
https://videos.nba.com/nba/pbp/media/2015/05/09/0041400223/57/94e3f088-9889-b496-5ccd-7c46b1c8bcae_1280x720.mp4,Green Traveling Turnover (P3.T10)
https://videos.nba.com/nba/pbp/media/2015/04/19/0041400171/4/f56dd019-55bd-9e27-7f62-b88aeebe75e8_1280x720.mp4,Conley Bad Pass Turnover (P1.T1)
https://videos.nba.com/nba/pbp/media/2015/04/25/0041400173/198/467cfbf9-ab06-ce3c-99ef-01026d0009d0_1280x720.mp4,Randolph Bad Pass Turnover (P1.T1)
https://videos.nba.com/nba/pbp/media/2015/04/25/0041400173/286/ec646690-1f9b-2243-eaa2-45749ba2ea4c_1280x720.mp4,Gasol Out of Bounds Lost Ball Turnover (P3.T11)
https://videos.nba.com/nba/pbp/media/2015/04/18/0041400151/3/8dc7f541-323e-e82c-952c-0384924ea650_1280x720.mp4,Harden Foul Turnover (P1.T1)
https://videos.nba.com/nba/pbp/media/2015/04/18/0041400151/21/1fd5ec88-7ca0-c71c-2a2c-252d6ef5f9d8_1280x720.mp4,Harden Bad Pass Turnover (P2.T3)
