link,title
https://videos.nba.com/nba/pbp/media/2015/04/19/0041400171/4/f56dd019-55bd-9e27-7f62-b88aeebe75e8_1280x720.mp4,Conley Bad Pass Turnover (P1.T1)
https://videos.nba.com/nba/pbp/media/2015/04/19/0041400171/91/7674d582-f89e-6a0e-46ab-8ab0e865338a_1280x720.mp4,Allen Bad Pass Turnover (P1.T2)#@#Crabbe STEAL (1 STL)
https://videos.nba.com/nba/pbp/media/2015/04/19/0041400171/188/24ea1ef5-5fc9-4011-18b7-689c3a53050e_1280x720.mp4,Conley Step Out of Bounds Turnover (P2.T3)
https://videos.nba.com/nba/pbp/media/2015/04/19/0041400171/305/3c8bbb5b-c1d5-4265-0e1d-27024718061a_1280x720.mp4,Lee Bad Pass Turnover (P1.T4)#@#McCollum STEAL (1 STL)
https://videos.nba.com/nba/pbp/media/2015/04/19/0041400171/487/3823713a-0857-23f2-2b82-8669faab5b2e_1280x720.mp4,Gasol 3 Second Violation Turnover (P1.T5)
https://videos.nba.com/nba/pbp/media/2015/04/19/0041400171/536/853295f9-9947-0448-1e0c-e6977e957bb4_1280x720.mp4,Calathes Bad Pass Turnover (P1.T6)#@#Freeland STEAL (1 STL)
https://videos.nba.com/nba/pbp/media/2015/04/19/0041400171/544/0b626d42-85ee-ebeb-2a62-7204fc37628e_1280x720.mp4,Calathes Bad Pass Turnover (P2.T7)#@#Leonard STEAL (1 STL)
https://videos.nba.com/nba/pbp/media/2015/04/19/0041400171/549/e3294a85-e146-ba9b-434f-efa949d79b94_1280x720.mp4,Calathes Lost Ball Turnover (P3.T8)#@#Crabbe STEAL (2 STL)
https://videos.nba.com/nba/pbp/media/2015/04/22/0041400172/7/fc2e4b3a-c783-bf64-e894-3e23dab158bc_1280x720.mp4,Conley Bad Pass Turnover (P1.T1)#@#Lopez STEAL (1 STL)
https://videos.nba.com/nba/pbp/media/2015/04/22/0041400172/147/df0f32d1-e144-0b88-3ee3-b78277232ad8_1280x720.mp4,Je. Green Bad Pass Turnover (P1.T2)
https://videos.nba.com/nba/pbp/media/2015/04/22/0041400172/217/9c29f9f6-87fd-8aaa-039f-bd2cb3a4adbc_1280x720.mp4,Randolph Bad Pass Turnover (P1.T3)#@#McCollum STEAL (1 STL)
https://videos.nba.com/nba/pbp/media/2015/04/22/0041400172/248/a693c759-0507-6c12-3386-7090176cf755_1280x720.mp4,Conley Bad Pass Turnover (P2.T4)#@#Aldridge STEAL (1 STL)
https://videos.nba.com/nba/pbp/media/2015/04/22/0041400172/454/c2bce94c-dfb7-878f-0272-de1fc2370f75_1280x720.mp4,Allen Lost Ball Turnover (P1.T6)#@#Aldridge STEAL (2 STL)
https://videos.nba.com/nba/pbp/media/2015/04/25/0041400173/88/141e544f-47c7-14a9-99fd-08a2b567e598_1280x720.mp4,Je. Green Bad Pass Turnover (P1.T1)
https://videos.nba.com/nba/pbp/media/2015/04/25/0041400173/198/467cfbf9-ab06-ce3c-99ef-01026d0009d0_1280x720.mp4,Randolph Lost Ball Turnover (P1.T3)#@#McCollum STEAL (1 STL)
https://videos.nba.com/nba/pbp/media/2015/04/25/0041400173/286/ec646690-1f9b-2243-eaa2-45749ba2ea4c_1280x720.mp4,Allen Step Out of Bounds Turnover (P1.T4)
https://videos.nba.com/nba/pbp/media/2015/04/25/0041400173/319/cc9c6efa-73f5-592a-e5e4-ea3efc214825_1280x720.mp4,Randolph Traveling Turnover (P2.T5)
https://videos.nba.com/nba/pbp/media/2015/04/25/0041400173/394/1868f6dc-2607-8a64-cf85-c81c1c42cd46_1280x720.mp4,Je. Green Lost Ball Turnover (P2.T6)#@#McCollum STEAL (2 STL)
https://videos.nba.com/nba/pbp/media/2015/04/25/0041400173/495/9a358d9d-24c8-361a-0a78-54725035ec7c_1280x720.mp4,Lee Traveling Turnover (P1.T7)
https://videos.nba.com/nba/pbp/media/2015/04/27/0041400174/2/a51b9f1d-b010-cc49-83c7-1276e038be83_1280x720.mp4,Randolph Bad Pass Turnover (P1.T1)
https://videos.nba.com/nba/pbp/media/2015/04/27/0041400174/55/f2adb61e-c8f6-acc5-aed2-f328f897f6ce_1280x720.mp4,Calathes Bad Pass Turnover (P1.T2)
https://videos.nba.com/nba/pbp/media/2015/04/27/0041400174/94/daf9c4ef-fcf9-9f6e-e766-9c9796a6b150_1280x720.mp4,Udrih Bad Pass Turnover (P1.T3)#@#Batum STEAL (1 STL)
https://videos.nba.com/nba/pbp/media/2015/04/27/0041400174/118/f957c4f1-2fe9-c2c4-a6ee-eddaab7ef528_1280x720.mp4,Je. Green Traveling Turnover (P1.T4)
https://videos.nba.com/nba/pbp/media/2015/04/27/0041400174/158/b77e688b-1e1d-94ae-d0be-2d3f5be1ce61_1280x720.mp4,Gasol Bad Pass Turnover (P1.T5)#@#Leonard STEAL (1 STL)
https://videos.nba.com/nba/pbp/media/2015/04/27/0041400174/182/f6ddbd16-6f7c-6823-7cf7-6ae60fefd50b_1280x720.mp4,Randolph Foul Turnover (P2.T6)
https://videos.nba.com/nba/pbp/media/2015/04/27/0041400174/263/8772dbe4-168e-ac75-5f49-8c1c9e942bd0_1280x720.mp4,Calathes Bad Pass Turnover (P2.T7)#@#Lillard STEAL (1 STL)
https://videos.nba.com/nba/pbp/media/2015/04/27/0041400174/287/845993b5-158b-e05b-3350-10537f397f3a_1280x720.mp4,Randolph Lost Ball Turnover (P3.T8)#@#McCollum STEAL (1 STL)
https://videos.nba.com/nba/pbp/media/2015/04/27/0041400174/399/9970a279-84ca-7140-5a69-0994fc2e5bb6_1280x720.mp4,Gasol Lost Ball Turnover (P2.T9)#@#McCollum STEAL (2 STL)
https://videos.nba.com/nba/pbp/media/2015/04/29/0041400175/16/74054f5c-35ba-8e84-0580-e34d38c6359e_1280x720.mp4,Randolph Bad Pass Turnover (P1.T1)
https://videos.nba.com/nba/pbp/media/2015/04/29/0041400175/39/c5182734-7499-2d9d-3501-3066d4ac6876_1280x720.mp4,Calathes Out of Bounds Lost Ball Turnover (P1.T2)
https://videos.nba.com/nba/pbp/media/2015/04/19/0041400161/2/2aba44fc-0831-44c2-d322-71c99cf761e5_1280x720.mp4,Redick Bad Pass Turnover (P1.T1)#@#Leonard STEAL (1 STL)
https://videos.nba.com/nba/pbp/media/2015/04/19/0041400161/41/3d089510-9164-63a5-d8a2-a9d368b45672_1280x720.mp4,Griffin Bad Pass Turnover (P1.T2)#@#Splitter STEAL (1 STL)
https://videos.nba.com/nba/pbp/media/2015/04/19/0041400161/76/a0aad982-67e2-80cb-98af-d8e168f4dda2_1280x720.mp4,Paul Bad Pass Turnover (P1.T3)#@#Duncan STEAL (1 STL)
https://videos.nba.com/nba/pbp/media/2015/04/19/0041400161/117/2a3b20b1-ece6-a5ea-8608-413099cdd6e9_1280x720.mp4,Crawford Bad Pass Turnover (P1.T4)
https://videos.nba.com/nba/pbp/media/2015/04/19/0041400161/126/9c004934-1c86-313f-8a7a-cef6e91b46da_1280x720.mp4,Paul Lost Ball Turnover (P2.T5)#@#Ginobili STEAL (1 STL)
https://videos.nba.com/nba/pbp/media/2015/04/19/0041400161/165/577f2fd3-7b84-53ba-fb18-3300eb5e390b_1280x720.mp4,Davis Foul Turnover (P1.T6)
https://videos.nba.com/nba/pbp/media/2015/04/19/0041400161/257/7c20c564-9b06-9311-ff18-eba2b3fb883d_1280x720.mp4,Rivers Bad Pass Turnover (P1.T7)#@#Leonard STEAL (2 STL)
https://videos.nba.com/nba/pbp/media/2015/04/19/0041400161/328/8958803d-6430-eb14-f9a1-ba8056907456_1280x720.mp4,Jordan Lost Ball Turnover (P1.T9)#@#Leonard STEAL (3 STL)
https://videos.nba.com/nba/pbp/media/2015/04/19/0041400161/345/f2ea5b9e-c8b8-ab10-468a-f8bdbc9575eb_1280x720.mp4,Redick Foul Turnover (P2.T10)
https://videos.nba.com/nba/pbp/media/2015/04/19/0041400161/426/933335b5-f4d4-7d03-e27d-b442f61a259c_1280x720.mp4,Barnes Lost Ball Turnover (P2.T11)#@#Leonard STEAL (4 STL)
https://videos.nba.com/nba/pbp/media/2015/04/19/0041400161/480/087d147b-78a6-2ddd-0c62-0c139f2d78ba_1280x720.mp4,Jordan Bad Pass Turnover (P2.T12)#@#Ginobili STEAL (2 STL)
https://videos.nba.com/nba/pbp/media/2015/04/19/0041400161/565/4835afa2-603a-7ac3-f405-b5394c558f47_1280x720.mp4,Paul Traveling Turnover (P3.T13)
https://videos.nba.com/nba/pbp/media/2015/04/22/0041400162/66/6b4d4355-c821-3dc8-cfce-9a213b9dcbc9_1280x720.mp4,Griffin Bad Pass Turnover (P1.T2)#@#Duncan STEAL (1 STL)
https://videos.nba.com/nba/pbp/media/2015/04/22/0041400162/82/59ff6744-482b-e946-1a68-aae7770f92d5_1280x720.mp4,Paul Bad Pass Turnover (P1.T3)#@#Mills STEAL (1 STL)
https://videos.nba.com/nba/pbp/media/2015/04/22/0041400162/185/46009eda-1eb5-b366-0c59-b7a7958d06a3_1280x720.mp4,Jordan Bad Pass Turnover (P1.T4)
https://videos.nba.com/nba/pbp/media/2015/04/22/0041400162/196/95a1a2e7-2589-fd3d-5e4b-e32d6a661f19_1280x720.mp4,Barnes Bad Pass Turnover (P1.T5)#@#Belinelli STEAL (1 STL)
https://videos.nba.com/nba/pbp/media/2015/04/22/0041400162/210/4def192a-b1ca-c699-9157-37a1924771bf_1280x720.mp4,Griffin Bad Pass Turnover (P2.T6)#@#Duncan STEAL (2 STL)
https://videos.nba.com/nba/pbp/media/2015/04/22/0041400162/244/6ea39ecf-6ad6-839a-fdcf-ac8d3f889b7e_1280x720.mp4,Paul Traveling Turnover (P2.T7)
https://videos.nba.com/nba/pbp/media/2015/04/22/0041400162/301/df886763-f481-5fa5-a2c5-231ab552dea0_1280x720.mp4,Redick Bad Pass Turnover (P1.T8)#@#Leonard STEAL (1 STL)
https://videos.nba.com/nba/pbp/media/2015/04/22/0041400162/430/c9d82be5-8602-f12d-2bbd-13f8b467f871_1280x720.mp4,Griffin Bad Pass Turnover (P3.T9)#@#Parker STEAL (1 STL)
https://videos.nba.com/nba/pbp/media/2015/04/22/0041400162/553/3ee99223-c8e7-4756-a206-94d32720ea85_1280x720.mp4,Griffin Lost Ball Turnover (P4.T10)#@#Diaw STEAL (1 STL)
https://videos.nba.com/nba/pbp/media/2015/04/22/0041400162/585/ac8af7f3-40c7-9ad7-cf5a-60ff27b7fa13_1280x720.mp4,Paul Bad Pass Turnover (P3.T11)
https://videos.nba.com/nba/pbp/media/2015/04/22/0041400162/604/085a39db-6003-dfa7-5015-daccc9892ffc_1280x720.mp4,Griffin Bad Pass Turnover (P5.T12)#@#Diaw STEAL (2 STL)
https://videos.nba.com/nba/pbp/media/2015/04/24/0041400163/17/678ee499-792c-7bc7-180e-33f5de48077b_1280x720.mp4,Griffin Lost Ball Turnover (P1.T1)#@#Leonard STEAL (1 STL)
